DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ANIO;TOTAL_POBLACION;TOTAL_VIVIENDA;VIVIENDAS_HABITADAS;POBLACION_CON_COBERTURA;POBLACION_SIN_COBERTURA;FECHA_CORTE
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;24;12;10;8;16;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;28;14;14;10;18;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;35;7;7;35;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;50;37;25;30;20;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;200;54;41;200;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;20;40;30;15;5;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;60;20;20;60;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;1440;400;380;1440;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;135;45;45;135;0;20230810
CUSCO;CALCA;CALCA;80401;2019;150;35;30;140;10;20230810
CUSCO;CALCA;CALCA;80401;2019;610;120;120;610;0;20230810
CUSCO;CALCA;CALCA;80401;2019;40;20;18;39;1;20230810
CUSCO;CALCA;CALCA;80401;2019;41;13;10;41;0;20230810
CUSCO;CALCA;CALCA;80401;2018;37;10;10;37;0;20230810
CUSCO;CALCA;CALCA;80401;2019;120;45;45;90;30;20230810
CUSCO;CALCA;CALCA;80401;2018;455;91;91;455;0;20230810
CUSCO;CALCA;CALCA;80401;2018;159;60;52;159;0;20230810
CUSCO;CALCA;CALCA;80401;2019;20;5;5;20;0;20230810
CUSCO;CALCA;CALCA;80401;2018;53;9;8;53;0;20230810
CUSCO;CALCA;CALCA;80401;2018;32;8;8;32;0;20230810
CUSCO;CALCA;CALCA;80401;2018;46;13;10;46;0;20230810
CUSCO;CALCA;CALCA;80401;2019;48;14;14;48;0;20230810
CUSCO;CALCA;CALCA;80401;2018;290;76;76;290;0;20230810
CUSCO;CALCA;CALCA;80401;2019;31;10;9;20;11;20230810
CUSCO;CALCA;CALCA;80401;2018;140;28;28;140;0;20230810
CUSCO;CALCA;CALCA;80401;2019;200;41;40;180;20;20230810
CUSCO;CALCA;CALCA;80401;2018;455;89;89;455;0;20230810
CUSCO;CALCA;CALCA;80401;2018;50;10;10;50;0;20230810
CUSCO;CALCA;CALCA;80401;2018;150;30;30;150;0;20230810
CUSCO;CALCA;CALCA;80401;2019;1350;420;384;1300;50;20230810
CUSCO;CALCA;CALCA;80401;2019;327;76;76;327;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;390;75;68;360;30;20230810
CUSCO;CANAS;YANAOCA;80501;2019;170;52;52;170;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;200;60;57;50;150;20230810
CUSCO;CANAS;YANAOCA;80501;2019;125;25;25;105;20;20230810
CUSCO;CANAS;YANAOCA;80501;2019;240;60;58;240;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;1000;280;250;1000;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;190;76;68;190;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;40;8;8;40;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;156;52;50;156;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;55;23;20;55;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;92;30;30;92;0;20230810
CUSCO;CANAS;YANAOCA;80501;2018;240;59;58;6;234;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;750;180;150;750;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;38;17;14;38;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;120;35;30;45;75;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;19;8;5;19;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;50;30;25;50;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;69;35;25;69;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;279;84;77;279;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;800;200;200;800;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;270;65;50;270;0;20230810
CUSCO;CANAS;PAMPAMARCA;80506;2019;80;25;20;30;50;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;306;105;102;306;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;330;115;110;330;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;165;55;50;165;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2019;144;60;48;144;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;495;165;165;495;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;60;23;20;60;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;180;60;60;180;0;20230810
CUSCO;ANTA;LIMATAMBO;80306;2018;153;52;48;42;111;20230810
